UNITID,Level of Student,Grand Total,Grand Total Men,Grand Total Women
115409,1,923,475,448
115409,2,923,475,448
115658,1,160,9,151
115658,2,160,9,151
115728,1,1091,322,769
115728,2,689,237,452
115728,4,402,85,317
115746,1,976,233,743
115746,4,976,233,743
115755,1,8622,3641,4981
115755,2,7886,3397,4489
115755,4,736,244,492
115773,1,707,217,490
115773,2,475,148,327
115773,4,232,69,163
115861,1,10628,4686,5942
115861,2,10628,4686,5942
115931,1,919,640,279
115931,2,919,640,279
116226,1,267,14,253
116226,2,259,13,246
116226,4,8,1,7
116350,1,321,38,283
116350,2,321,38,283
116439,1,19299,9322,9977
116439,2,19299,9322,9977
116563,1,297,11,286
116563,2,297,11,286
116712,1,1615,509,1106
116712,2,606,224,382
116712,4,1009,285,724
116846,1,170,61,109
116846,2,70,26,44
116846,4,100,35,65
117052,1,18167,7168,10999
117052,2,18167,7168,10999
117104,1,677,330,347
117104,2,572,267,305
117104,4,105,63,42
117140,1,9774,3764,6010
117140,2,6057,2544,3513
117140,4,3717,1220,2497
117168,1,819,270,549
117168,2,764,241,523
117168,4,55,29,26
117195,1,7185,4055,3130
117195,2,7185,4055,3130
117238,1,200,44,156
117238,2,200,44,156
117247,1,17068,7673,9395
117247,2,17068,7673,9395
117274,1,4890,4091,799
117274,2,4890,4091,799
117520,1,756,422,334
117520,4,756,422,334
117548,1,280,115,165
117548,4,280,115,165
117557,1,652,367,285
117557,2,118,61,57
117557,4,534,306,228
117575,1,283,175,108
117575,2,70,49,21
117575,4,213,126,87
117627,1,2789,1094,1695
117627,2,2036,818,1218
117627,4,753,276,477
117636,1,5316,1813,3503
117636,2,1750,459,1291
117636,4,3566,1354,2212
117645,1,33098,14336,18762
117645,2,33098,14336,18762
117672,1,2808,977,1831
117672,2,2163,612,1551
117672,4,645,365,280
117690,1,12560,4985,7575
117690,2,12560,4985,7575
117706,1,27577,12036,15541
117706,2,27577,12036,15541
117715,1,9933,3039,6894
117715,2,9933,3039,6894
117724,1,21363,11011,10352
117724,2,21363,11011,10352
117733,1,26594,11092,15502
117733,2,26594,11092,15502
117751,1,2636,1698,938
117751,2,1644,879,765
117751,4,992,819,173
117788,1,25897,10635,15262
117788,2,25897,10635,15262
117803,1,282,73,209
117803,2,282,73,209
117867,1,16005,6102,9903
117867,2,16005,6102,9903
117894,1,13687,5951,7736
117894,2,13687,5951,7736
117946,1,10698,4504,6194
117946,2,6978,3127,3851
117946,4,3720,1377,2343
117955,1,505,111,394
117955,2,505,111,394
118134,1,131,3,128
118134,2,131,3,128
118143,1,110,9,101
118143,2,110,9,101
118161,1,212,7,205
118161,2,212,7,205
118198,1,1240,268,972
118198,2,1240,268,972
118347,1,7327,3089,4238
118347,2,7327,3089,4238
118541,1,908,454,454
118541,2,767,391,376
118541,4,141,63,78
118684,1,6477,2498,3979
118684,2,6477,2498,3979
118693,1,850,489,361
118693,2,850,489,361
118718,1,15241,6176,9065
118718,2,15241,6176,9065
118772,1,12264,4275,7989
118772,2,12264,4275,7989
118888,1,1354,120,1234
118888,2,820,3,817
118888,4,534,117,417
118912,1,19622,8152,11470
118912,2,19622,8152,11470
118930,1,12435,5604,6831
118930,2,12435,5604,6831
118958,1,82,19,63
118958,2,82,19,63
118976,1,24881,9859,15022
118976,2,24881,9859,15022
118994,1,417,252,165
118994,2,417,252,165
119058,1,774,273,501
119058,2,6,3,3
119058,4,768,270,498
119067,1,12220,5739,6481
119067,2,12220,5739,6481
119137,1,20190,9380,10810
