,UNITID,Grand Total,Grand Total Men ,Grand Total Women 
1006,149222,4099,2219,1880
1007,149231,3371,1438,1933
1008,149310,39,24,15
1009,149329,2,2,0
1010,149365,541,166,375
1011,149499,8,0,8
1012,149505,301,71,230
1013,149514,345,228,117
1014,149532,1265,538,727
1015,149550,99,11,88
1016,149639,74,42,32
1017,149727,1678,724,954
1018,149763,452,79,373
1019,149772,2416,1145,1271
1020,149781,786,341,445
1021,149842,3411,1370,2041
1022,150048,115,26,89
1023,150066,444,182,262
1024,150136,5753,1830,3923
1025,150145,412,135,277
1026,150163,1211,455,756
1027,150172,238,147,91
1028,150215,30,13,17
1029,150251,7,0,7
1030,150288,76,66,10
1031,150303,145,4,141
1032,150400,505,236,269
1033,150428,29,0,29
1034,150455,216,89,127
1035,150534,536,226,310
1036,150604,216,101,115
1037,150668,258,75,183
1038,150677,493,202,291
1039,150756,220,95,125
1040,150765,29,0,29
1041,150774,164,100,64
1042,150853,97,1,96
1043,150941,286,115,171
1044,150987,19757,8006,11751
1045,151102,1624,682,942
1046,151111,7335,3002,4333
1047,151263,1535,481,1054
1048,151290,508,312,196
1049,151306,2129,729,1400
1050,151324,2644,1122,1522
1051,151333,619,182,437
1052,151342,942,342,600
1053,151351,11070,5696,5374
1054,151360,751,233,518
1055,151379,975,388,587
1056,151388,822,253,569
1057,151458,81,11,70
1058,151467,166,28,138
1059,151564,13,0,13
1060,151607,54,1,53
1061,151652,130,1,129
1062,151661,403,385,18
1063,151777,360,158,202
1064,151786,910,296,614
1065,151801,744,230,514
1066,151810,47,11,36
1067,151865,20,13,7
1068,151962,45,20,25
1069,152044,22,9,13
1070,152080,3587,1958,1629
1071,152099,262,131,131
1072,152150,21,0,21
1073,152275,77,16,61
1074,152309,48,21,27
1075,152318,520,376,144
1076,152336,630,156,474
1077,152381,224,18,206
1078,152390,376,4,372
1079,152451,52,44,8
1080,152497,43,1,42
1081,152530,477,209,268
1082,152567,422,293,129
1083,152600,1111,480,631
1084,152628,9,1,8
1085,152637,2184,1165,1019
1086,152673,198,198,0
1087,152798,272,29,243
1088,152992,286,106,180
1089,153001,594,158,436
1090,153074,102,3,99
1091,153083,102,3,99
1092,153108,248,115,133
1093,153126,248,79,169
1094,153144,277,120,157
1095,153162,196,105,91
1096,153214,3139,1470,1669
1097,153241,14,10,4
1098,153250,347,174,173
1099,153269,1302,487,815
1100,153278,480,242,238
1101,153296,167,74,93
1102,153302,118,46,72
1103,153311,1092,463,629
1104,153320,81,41,40
1105,153339,12,0,12
1106,153366,624,141,483
1107,153375,453,209,244
1108,153384,403,183,220
1109,153427,95,50,45
1110,153445,1020,477,543
1111,153463,12,0,12
1112,153472,824,377,447
1113,153524,1044,437,607
1114,153533,357,173,184
1115,153542,8,1,7
1116,153588,7,6,1
1117,153597,72,3,69
1118,153603,8464,4599,3865
1119,153621,84,26,58
1120,153630,1106,448,658
1121,153658,7416,3495,3921
1122,153737,2101,930,1171
1123,153746,15,1,14
1124,153764,34,3,31
1125,153773,28,1,27
1126,153782,17,1,16
1127,153825,328,136,192
1128,153834,489,223,266
1129,153861,592,440,152
1130,153922,326,159,167
1131,153977,248,23,225
1132,154004,575,166,409
1133,154013,547,161,386
1134,154022,9494,3017,6477
1135,154059,763,291,472
1136,154095,2739,1061,1678
1137,154101,276,89,187
1138,154110,690,238,452
1139,154129,337,188,149
1140,154156,459,209,250
1141,154165,14,0,14
1142,154174,736,454,282
1143,154208,87,9,78
1144,154235,842,294,548
1145,154262,131,16,115
1146,154332,33,1,32
1147,154341,25,0,25
1148,154350,364,160,204
1149,154378,602,251,351
1150,154396,374,189,185
1151,154448,91,3,88
1152,154457,21,1,20
1153,154466,17,1,16
1154,154493,1517,550,967
1155,154518,993,675,318
1156,154527,269,128,141
1157,154536,23,9,14
1158,154545,25,12,13
1159,154572,1588,615,973
1160,154590,290,129,161
1161,154642,456,156,300
1162,154688,750,282,468
1163,154697,916,426,490
1164,154712,438,194,244
1165,154721,101,54,47
1166,154749,139,49,90
1167,154800,1475,537,938
1168,154855,169,104,65
1169,154907,439,157,282
1170,154925,466,217,249
1171,154934,321,67,254
1172,154952,684,256,428
1173,154998,231,106,125
